EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19610101,    6,    0
  4970,132727,19610102,    8,    0
  4970,132727,19610103,    7,    0
  4970,132727,19610104,    8,    0
  4970,132727,19610105,    7,    0
  4970,132727,19610106,    8,    0
  4970,132727,19610107,    6,    0
  4970,132727,19610108,    6,    0
  4970,132727,19610109,    7,    0
  4970,132727,19610110,    8,    0
  4970,132727,19610111,    5,    0
  4970,132727,19610112,    1,    0
  4970,132727,19610113,    7,    0
  4970,132727,19610114,    8,    0
  4970,132727,19610115,    6,    0
  4970,132727,19610116,    1,    0
  4970,132727,19610117,    1,    0
  4970,132727,19610118,    1,    0
  4970,132727,19610119,    1,    0
  4970,132727,19610120,    8,    0
  4970,132727,19610121,    8,    0
  4970,132727,19610122,    6,    0
  4970,132727,19610123,    8,    0
  4970,132727,19610124,    8,    0
  4970,132727,19610125,    8,    0
  4970,132727,19610126,    7,    0
  4970,132727,19610127,    6,    0
  4970,132727,19610128,    8,    0
  4970,132727,19610129,    8,    0
  4970,132727,19610130,    8,    0
  4970,132727,19610131,    7,    0
  4970,132727,19610201,    7,    0
  4970,132727,19610202,    8,    0
  4970,132727,19610203,    8,    0
  4970,132727,19610204,    8,    0
  4970,132727,19610205,    8,    0
  4970,132727,19610206,    7,    0
  4970,132727,19610207,    7,    0
  4970,132727,19610208,    8,    0
  4970,132727,19610209,    7,    0
  4970,132727,19610210,    5,    0
  4970,132727,19610211,    8,    0
  4970,132727,19610212,    7,    0
  4970,132727,19610213,    5,    0
  4970,132727,19610214,    1,    0
  4970,132727,19610215,    4,    0
  4970,132727,19610216,    1,    0
  4970,132727,19610217,    0,    0
  4970,132727,19610218,    0,    0
  4970,132727,19610219,    5,    0
  4970,132727,19610220,    1,    0
  4970,132727,19610221,    3,    0
  4970,132727,19610222,    3,    0
  4970,132727,19610223,    5,    0
  4970,132727,19610224,    6,    0
  4970,132727,19610225,    7,    0
  4970,132727,19610226,    6,    0
  4970,132727,19610227,    8,    0
  4970,132727,19610228,    8,    0
  4970,132727,19610301,    8,    0
  4970,132727,19610302,    7,    0
  4970,132727,19610303,    5,    0
  4970,132727,19610304,    2,    0
  4970,132727,19610305,    1,    0
  4970,132727,19610306,    2,    0
  4970,132727,19610307,    4,    0
  4970,132727,19610308,    0,    0
  4970,132727,19610309,    0,    0
  4970,132727,19610310,    3,    0
  4970,132727,19610311,    4,    0
  4970,132727,19610312,    6,    0
  4970,132727,19610313,    8,    0
  4970,132727,19610314,    8,    0
