EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132736) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   FG, Q_FG
  4970,132736,19680101,-9999,    9
  4970,132736,19680102,-9999,    9
  4970,132736,19680103,-9999,    9
  4970,132736,19680104,-9999,    9
  4970,132736,19680105,-9999,    9
  4970,132736,19680106,-9999,    9
  4970,132736,19680107,-9999,    9
  4970,132736,19680108,-9999,    9
  4970,132736,19680109,-9999,    9
  4970,132736,19680110,-9999,    9
  4970,132736,19680111,-9999,    9
  4970,132736,19680112,-9999,    9
  4970,132736,19680113,-9999,    9
  4970,132736,19680114,-9999,    9
  4970,132736,19680115,-9999,    9
  4970,132736,19680116,-9999,    9
  4970,132736,19680117,-9999,    9
  4970,132736,19680118,-9999,    9
  4970,132736,19680119,-9999,    9
  4970,132736,19680120,-9999,    9
  4970,132736,19680121,-9999,    9
  4970,132736,19680122,-9999,    9
  4970,132736,19680123,-9999,    9
  4970,132736,19680124,-9999,    9
  4970,132736,19680125,-9999,    9
  4970,132736,19680126,-9999,    9
  4970,132736,19680127,-9999,    9
  4970,132736,19680128,-9999,    9
  4970,132736,19680129,-9999,    9
  4970,132736,19680130,-9999,    9
  4970,132736,19680131,-9999,    9
  4970,132736,19680201,-9999,    9
  4970,132736,19680202,-9999,    9
  4970,132736,19680203,-9999,    9
  4970,132736,19680204,-9999,    9
  4970,132736,19680205,-9999,    9
  4970,132736,19680206,-9999,    9
  4970,132736,19680207,-9999,    9
  4970,132736,19680208,-9999,    9
  4970,132736,19680209,-9999,    9
  4970,132736,19680210,-9999,    9
  4970,132736,19680211,-9999,    9
  4970,132736,19680212,-9999,    9
  4970,132736,19680213,-9999,    9
  4970,132736,19680214,-9999,    9
  4970,132736,19680215,-9999,    9
  4970,132736,19680216,-9999,    9
  4970,132736,19680217,-9999,    9
  4970,132736,19680218,-9999,    9
  4970,132736,19680219,-9999,    9
  4970,132736,19680220,-9999,    9
  4970,132736,19680221,-9999,    9
  4970,132736,19680222,-9999,    9
  4970,132736,19680223,-9999,    9
  4970,132736,19680224,-9999,    9
  4970,132736,19680225,-9999,    9
  4970,132736,19680226,-9999,    9
  4970,132736,19680227,-9999,    9
  4970,132736,19680228,-9999,    9
  4970,132736,19680229,-9999,    9
  4970,132736,19680301,-9999,    9
  4970,132736,19680302,-9999,    9
  4970,132736,19680303,-9999,    9
  4970,132736,19680304,-9999,    9
