EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132735) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   HU, Q_HU
  4970,132735,19610101,   91,    0
  4970,132735,19610102,   95,    0
  4970,132735,19610103,   90,    0
  4970,132735,19610104,   95,    0
  4970,132735,19610105,   91,    0
  4970,132735,19610106,   93,    0
  4970,132735,19610107,   93,    0
  4970,132735,19610108,   91,    0
  4970,132735,19610109,   93,    0
  4970,132735,19610110,   96,    0
  4970,132735,19610111,   93,    0
  4970,132735,19610112,   91,    0
  4970,132735,19610113,   62,    0
  4970,132735,19610114,   94,    0
  4970,132735,19610115,   86,    0
  4970,132735,19610116,   70,    0
  4970,132735,19610117,   76,    0
  4970,132735,19610118,   78,    0
  4970,132735,19610119,   78,    0
  4970,132735,19610120,   95,    0
  4970,132735,19610121,   95,    0
  4970,132735,19610122,   94,    0
  4970,132735,19610123,   90,    0
  4970,132735,19610124,   91,    0
  4970,132735,19610125,   94,    0
  4970,132735,19610126,   93,    0
  4970,132735,19610127,   87,    0
  4970,132735,19610128,   86,    0
  4970,132735,19610129,   86,    0
  4970,132735,19610130,   95,    0
  4970,132735,19610131,   83,    0
  4970,132735,19610201,   91,    0
  4970,132735,19610202,   91,    0
  4970,132735,19610203,   94,    0
  4970,132735,19610204,   92,    0
  4970,132735,19610205,   86,    0
  4970,132735,19610206,   91,    0
  4970,132735,19610207,   87,    0
  4970,132735,19610208,   93,    0
  4970,132735,19610209,   89,    0
  4970,132735,19610210,   89,    0
  4970,132735,19610211,   92,    0
  4970,132735,19610212,   87,    0
  4970,132735,19610213,   93,    0
  4970,132735,19610214,   72,    0
  4970,132735,19610215,   76,    0
  4970,132735,19610216,   82,    0
  4970,132735,19610217,   66,    0
  4970,132735,19610218,   86,    0
  4970,132735,19610219,   87,    0
  4970,132735,19610220,   81,    0
  4970,132735,19610221,   81,    0
  4970,132735,19610222,   78,    0
  4970,132735,19610223,   84,    0
  4970,132735,19610224,   67,    0
  4970,132735,19610225,   55,    0
  4970,132735,19610226,   79,    0
  4970,132735,19610227,   88,    0
  4970,132735,19610228,   89,    0
  4970,132735,19610301,   94,    0
  4970,132735,19610302,   88,    0
  4970,132735,19610303,   90,    0
  4970,132735,19610304,   64,    0
  4970,132735,19610305,   57,    0
  4970,132735,19610306,   57,    0
  4970,132735,19610307,   59,    0
  4970,132735,19610308,   50,    0
  4970,132735,19610309,   52,    0
  4970,132735,19610310,   69,    0
  4970,132735,19610311,   81,    0
  4970,132735,19610312,   74,    0
  4970,132735,19610313,   96,    0
  4970,132735,19610314,   86,    0
  4970,132735,19610315,   79,    0
  4970,132735,19610316,   67,    0
  4970,132735,19610317,   46,    0
  4970,132735,19610318,   78,    0
  4970,132735,19610319,   87,    0
  4970,132735,19610320,   77,    0
  4970,132735,19610321,   87,    0
  4970,132735,19610322,   84,    0
  4970,132735,19610323,   82,    0
  4970,132735,19610324,   76,    0
  4970,132735,19610325,   72,    0
  4970,132735,19610326,   75,    0
  4970,132735,19610327,   78,    0
  4970,132735,19610328,   77,    0
  4970,132735,19610329,   78,    0
  4970,132735,19610330,   97,    0
  4970,132735,19610331,   82,    0
  4970,132735,19610401,   95,    0
  4970,132735,19610402,   95,    0
  4970,132735,19610403,   91,    0
  4970,132735,19610404,   78,    0
  4970,132735,19610405,   73,    0
  4970,132735,19610406,   59,    0
  4970,132735,19610407,   65,    0
  4970,132735,19610408,   90,    0
  4970,132735,19610409,   80,    0
  4970,132735,19610410,   80,    0
  4970,132735,19610411,   96,    0
  4970,132735,19610412,   86,    0
  4970,132735,19610413,   71,    0
  4970,132735,19610414,   84,    0
  4970,132735,19610415,   96,    0
  4970,132735,19610416,   83,    0
  4970,132735,19610417,   88,    0
  4970,132735,19610418,   93,    0
  4970,132735,19610419,   85,    0
  4970,132735,19610420,   81,    0
  4970,132735,19610421,   84,    0
  4970,132735,19610422,   89,    0
  4970,132735,19610423,   90,    0
  4970,132735,19610424,   92,    0
  4970,132735,19610425,   89,    0
  4970,132735,19610426,   83,    0
  4970,132735,19610427,   83,    0
  4970,132735,19610428,   63,    0
  4970,132735,19610429,   90,    0
  4970,132735,19610430,   96,    0
  4970,132735,19610501,   86,    0
  4970,132735,19610502,   87,    0
  4970,132735,19610503,   79,    0
  4970,132735,19610504,   81,    0
  4970,132735,19610505,   84,    0
  4970,132735,19610506,   80,    0
  4970,132735,19610507,   88,    0
  4970,132735,19610508,   76,    0
  4970,132735,19610509,   84,    0
  4970,132735,19610510,   78,    0
  4970,132735,19610511,   76,    0
  4970,132735,19610512,   76,    0
  4970,132735,19610513,   70,    0
  4970,132735,19610514,   73,    0
  4970,132735,19610515,   70,    0
  4970,132735,19610516,   72,    0
  4970,132735,19610517,   74,    0
  4970,132735,19610518,   65,    0
  4970,132735,19610519,   79,    0
  4970,132735,19610520,   90,    0
  4970,132735,19610521,   96,    0
  4970,132735,19610522,   88,    0
  4970,132735,19610523,   73,    0
  4970,132735,19610524,   73,    0
  4970,132735,19610525,   63,    0
  4970,132735,19610526,   97,    0
  4970,132735,19610527,   86,    0
  4970,132735,19610528,   81,    0
  4970,132735,19610529,   83,    0
  4970,132735,19610530,   80,    0
  4970,132735,19610531,   73,    0
  4970,132735,19610601,   83,    0
  4970,132735,19610602,   96,    0
  4970,132735,19610603,   93,    0
  4970,132735,19610604,   97,    0
  4970,132735,19610605,   89,    0
  4970,132735,19610606,   92,    0
  4970,132735,19610607,   96,    0
  4970,132735,19610608,   81,    0
  4970,132735,19610609,   95,    0
  4970,132735,19610610,   76,    0
  4970,132735,19610611,   74,    0
  4970,132735,19610612,   82,    0
  4970,132735,19610613,   93,    0
  4970,132735,19610614,   78,    0
  4970,132735,19610615,   62,    0
  4970,132735,19610616,   61,    0
  4970,132735,19610617,   66,    0
  4970,132735,19610618,   64,    0
  4970,132735,19610619,   80,    0
  4970,132735,19610620,   65,    0
  4970,132735,19610621,   64,    0
  4970,132735,19610622,   65,    0
  4970,132735,19610623,   66,    0
  4970,132735,19610624,   59,    0
  4970,132735,19610625,   58,    0
  4970,132735,19610626,   82,    0
  4970,132735,19610627,   88,    0
  4970,132735,19610628,   73,    0
  4970,132735,19610629,   60,    0
  4970,132735,19610630,   56,    0
  4970,132735,19610701,   58,    0
  4970,132735,19610702,   58,    0
  4970,132735,19610703,   79,    0
  4970,132735,19610704,   81,    0
  4970,132735,19610705,   78,    0
  4970,132735,19610706,   72,    0
  4970,132735,19610707,   62,    0
  4970,132735,19610708,   80,    0
  4970,132735,19610709,   82,    0
  4970,132735,19610710,   80,    0
  4970,132735,19610711,   73,    0
  4970,132735,19610712,   70,    0
  4970,132735,19610713,   88,    0
  4970,132735,19610714,   92,    0
  4970,132735,19610715,   73,    0
  4970,132735,19610716,   93,    0
  4970,132735,19610717,   91,    0
  4970,132735,19610718,   94,    0
  4970,132735,19610719,   84,    0
  4970,132735,19610720,   84,    0
  4970,132735,19610721,   78,    0
