EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132729) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   PP, Q_PP
  4970,132729,19610101,10141,    0
  4970,132729,19610102,10026,    0
  4970,132729,19610103, 9900,    0
  4970,132729,19610104, 9950,    0
  4970,132729,19610105,10140,    0
  4970,132729,19610106,10043,    0
  4970,132729,19610107,10139,    0
  4970,132729,19610108,10104,    0
  4970,132729,19610109,10110,    0
  4970,132729,19610110,10051,    0
  4970,132729,19610111,10203,    0
  4970,132729,19610112,10327,    0
  4970,132729,19610113,10327,    0
  4970,132729,19610114,10312,    0
  4970,132729,19610115,10264,    0
  4970,132729,19610116,10212,    0
  4970,132729,19610117,10264,    0
  4970,132729,19610118,10303,    0
  4970,132729,19610119,10259,    0
  4970,132729,19610120,10211,    0
  4970,132729,19610121,10174,    0
  4970,132729,19610122,10124,    0
  4970,132729,19610123,10100,    0
  4970,132729,19610124,10084,    0
  4970,132729,19610125,10004,    0
  4970,132729,19610126,10186,    0
  4970,132729,19610127,10268,    0
  4970,132729,19610128,10144,    0
  4970,132729,19610129,10188,    0
  4970,132729,19610130,10086,    0
  4970,132729,19610131,10060,    0
  4970,132729,19610201,10030,    0
  4970,132729,19610202, 9928,    0
  4970,132729,19610203,10043,    0
  4970,132729,19610204,10065,    0
  4970,132729,19610205,10179,    0
  4970,132729,19610206,10100,    0
  4970,132729,19610207,10140,    0
  4970,132729,19610208,10229,    0
  4970,132729,19610209,10220,    0
  4970,132729,19610210,10327,    0
  4970,132729,19610211,10203,    0
  4970,132729,19610212,10221,    0
  4970,132729,19610213,10252,    0
  4970,132729,19610214,10264,    0
  4970,132729,19610215,10303,    0
  4970,132729,19610216,10349,    0
  4970,132729,19610217,10336,    0
  4970,132729,19610218,10352,    0
  4970,132729,19610219,10376,    0
  4970,132729,19610220,10341,    0
  4970,132729,19610221,10282,    0
  4970,132729,19610222,10271,    0
  4970,132729,19610223,10232,    0
  4970,132729,19610224,10210,    0
  4970,132729,19610225,10210,    0
  4970,132729,19610226,10283,    0
  4970,132729,19610227,10253,    0
  4970,132729,19610228,10192,    0
  4970,132729,19610301,10280,    0
  4970,132729,19610302,10317,    0
  4970,132729,19610303,10358,    0
  4970,132729,19610304,10383,    0
  4970,132729,19610305,10378,    0
  4970,132729,19610306,10349,    0
  4970,132729,19610307,10331,    0
  4970,132729,19610308,10350,    0
  4970,132729,19610309,10315,    0
  4970,132729,19610310,10262,    0
  4970,132729,19610311,10294,    0
  4970,132729,19610312,10263,    0
  4970,132729,19610313,10234,    0
  4970,132729,19610314,10255,    0
  4970,132729,19610315,10287,    0
  4970,132729,19610316,10282,    0
  4970,132729,19610317,10203,    0
  4970,132729,19610318,10118,    0
  4970,132729,19610319,10150,    0
  4970,132729,19610320,10143,    0
  4970,132729,19610321,10098,    0
  4970,132729,19610322,10229,    0
  4970,132729,19610323,10251,    0
  4970,132729,19610324,10257,    0
  4970,132729,19610325,10256,    0
  4970,132729,19610326,10195,    0
  4970,132729,19610327,10207,    0
  4970,132729,19610328,10256,    0
  4970,132729,19610329,10191,    0
  4970,132729,19610330,10116,    0
  4970,132729,19610331,10137,    0
  4970,132729,19610401,10125,    0
  4970,132729,19610402,10086,    0
  4970,132729,19610403,10081,    0
  4970,132729,19610404,10078,    0
  4970,132729,19610405,10055,    0
  4970,132729,19610406,10056,    0
  4970,132729,19610407,10110,    0
  4970,132729,19610408,10168,    0
  4970,132729,19610409,10160,    0
  4970,132729,19610410,10066,    0
  4970,132729,19610411,10116,    0
  4970,132729,19610412,10161,    0
  4970,132729,19610413,10107,    0
  4970,132729,19610414,10097,    0
  4970,132729,19610415,10117,    0
  4970,132729,19610416,10111,    0
  4970,132729,19610417,10107,    0
  4970,132729,19610418,10156,    0
  4970,132729,19610419,10162,    0
  4970,132729,19610420,10152,    0
  4970,132729,19610421,10105,    0
  4970,132729,19610422,10021,    0
  4970,132729,19610423, 9986,    0
  4970,132729,19610424,10087,    0
  4970,132729,19610425,10071,    0
  4970,132729,19610426,10048,    0
  4970,132729,19610427,10129,    0
  4970,132729,19610428,10073,    0
  4970,132729,19610429,10079,    0
  4970,132729,19610430,10120,    0
  4970,132729,19610501,10148,    0
  4970,132729,19610502,10090,    0
  4970,132729,19610503,10124,    0
  4970,132729,19610504,10124,    0
  4970,132729,19610505,10116,    0
  4970,132729,19610506,10168,    0
  4970,132729,19610507,10180,    0
  4970,132729,19610508,10204,    0
  4970,132729,19610509,10190,    0
  4970,132729,19610510,10250,    0
  4970,132729,19610511,10273,    0
  4970,132729,19610512,10245,    0
  4970,132729,19610513,10166,    0
  4970,132729,19610514,10122,    0
  4970,132729,19610515,10153,    0
  4970,132729,19610516,10178,    0
  4970,132729,19610517,10193,    0
  4970,132729,19610518,10195,    0
  4970,132729,19610519,10177,    0
  4970,132729,19610520,10121,    0
  4970,132729,19610521,10132,    0
  4970,132729,19610522,10151,    0
  4970,132729,19610523,10138,    0
  4970,132729,19610524,10157,    0
  4970,132729,19610525,10113,    0
  4970,132729,19610526,10100,    0
  4970,132729,19610527,10147,    0
  4970,132729,19610528,10141,    0
  4970,132729,19610529,10080,    0
  4970,132729,19610530,10066,    0
  4970,132729,19610531,10010,    0
  4970,132729,19610601,10000,    0
  4970,132729,19610602,10056,    0
  4970,132729,19610603,10140,    0
  4970,132729,19610604,10173,    0
  4970,132729,19610605,10143,    0
  4970,132729,19610606,10108,    0
  4970,132729,19610607,10114,    0
  4970,132729,19610608,10127,    0
  4970,132729,19610609,10120,    0
  4970,132729,19610610,10172,    0
  4970,132729,19610611,10143,    0
  4970,132729,19610612,10130,    0
  4970,132729,19610613,10055,    0
  4970,132729,19610614,10174,    0
  4970,132729,19610615,10173,    0
  4970,132729,19610616,10192,    0
  4970,132729,19610617,10191,    0
  4970,132729,19610618,10175,    0
  4970,132729,19610619,10232,    0
  4970,132729,19610620,10236,    0
  4970,132729,19610621,10229,    0
  4970,132729,19610622,10179,    0
  4970,132729,19610623,10210,    0
  4970,132729,19610624,10207,    0
  4970,132729,19610625,10153,    0
  4970,132729,19610626,10087,    0
  4970,132729,19610627,10127,    0
  4970,132729,19610628,10280,    0
  4970,132729,19610629,10265,    0
  4970,132729,19610630,10222,    0
  4970,132729,19610701,10208,    0
  4970,132729,19610702,10185,    0
  4970,132729,19610703,10200,    0
  4970,132729,19610704,10172,    0
  4970,132729,19610705,10208,    0
  4970,132729,19610706,10240,    0
  4970,132729,19610707,10221,    0
  4970,132729,19610708,10191,    0
  4970,132729,19610709,10176,    0
  4970,132729,19610710,10156,    0
  4970,132729,19610711,10107,    0
  4970,132729,19610712,10020,    0
  4970,132729,19610713,10002,    0
  4970,132729,19610714,10045,    0
  4970,132729,19610715,10089,    0
