EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132730) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   RR, Q_RR
  4970,132730,19610101,    0,    0
  4970,132730,19610102,  103,    0
  4970,132730,19610103,   53,    0
  4970,132730,19610104,   78,    0
  4970,132730,19610105,   14,    0
  4970,132730,19610106,   45,    0
  4970,132730,19610107,   17,    0
  4970,132730,19610108,   49,    0
  4970,132730,19610109,   29,    0
  4970,132730,19610110,   45,    0
  4970,132730,19610111,    1,    0
  4970,132730,19610112,    0,    0
  4970,132730,19610113,    8,    0
  4970,132730,19610114,    4,    0
  4970,132730,19610115,    0,    0
  4970,132730,19610116,    0,    0
  4970,132730,19610117,    0,    0
  4970,132730,19610118,    0,    0
  4970,132730,19610119,    5,    0
  4970,132730,19610120,    7,    0
  4970,132730,19610121,    0,    0
  4970,132730,19610122,    0,    0
  4970,132730,19610123,    0,    0
  4970,132730,19610124,    0,    0
  4970,132730,19610125,   40,    0
  4970,132730,19610126,    0,    0
  4970,132730,19610127,    0,    0
  4970,132730,19610128,   33,    0
  4970,132730,19610129,   40,    0
  4970,132730,19610130,  220,    0
  4970,132730,19610131,   45,    0
  4970,132730,19610201,   51,    0
  4970,132730,19610202,   35,    0
  4970,132730,19610203,   10,    0
  4970,132730,19610204,   30,    0
  4970,132730,19610205,   12,    0
  4970,132730,19610206,   35,    0
  4970,132730,19610207,   39,    0
  4970,132730,19610208,   28,    0
  4970,132730,19610209,   14,    0
  4970,132730,19610210,    0,    0
  4970,132730,19610211,   20,    0
  4970,132730,19610212,    8,    0
  4970,132730,19610213,    0,    0
  4970,132730,19610214,    0,    0
  4970,132730,19610215,    0,    0
  4970,132730,19610216,    0,    0
  4970,132730,19610217,    0,    0
  4970,132730,19610218,    0,    0
  4970,132730,19610219,    0,    0
  4970,132730,19610220,    0,    0
  4970,132730,19610221,    6,    0
  4970,132730,19610222,    0,    0
  4970,132730,19610223,   44,    0
  4970,132730,19610224,    0,    0
  4970,132730,19610225,    0,    0
  4970,132730,19610226,    1,    0
  4970,132730,19610227,   40,    0
  4970,132730,19610228,  114,    0
  4970,132730,19610301,    3,    0
  4970,132730,19610302,    2,    0
  4970,132730,19610303,    0,    0
  4970,132730,19610304,    0,    0
  4970,132730,19610305,    0,    0
  4970,132730,19610306,    0,    0
  4970,132730,19610307,    0,    0
  4970,132730,19610308,    0,    0
  4970,132730,19610309,    0,    0
  4970,132730,19610310,    0,    0
  4970,132730,19610311,    0,    0
  4970,132730,19610312,    0,    0
  4970,132730,19610313,    8,    0
  4970,132730,19610314,    0,    0
  4970,132730,19610315,    0,    0
  4970,132730,19610316,    0,    0
  4970,132730,19610317,    0,    0
  4970,132730,19610318,   13,    0
  4970,132730,19610319,   22,    0
  4970,132730,19610320,   25,    0
  4970,132730,19610321,   13,    0
  4970,132730,19610322,    7,    0
  4970,132730,19610323,    0,    0
  4970,132730,19610324,    0,    0
  4970,132730,19610325,    0,    0
  4970,132730,19610326,    0,    0
  4970,132730,19610327,    0,    0
  4970,132730,19610328,    0,    0
  4970,132730,19610329,   11,    0
  4970,132730,19610330,   53,    0
  4970,132730,19610331,   16,    0
  4970,132730,19610401,   30,    0
  4970,132730,19610402,   56,    0
  4970,132730,19610403,   33,    0
  4970,132730,19610404,    7,    0
  4970,132730,19610405,    0,    0
  4970,132730,19610406,    0,    0
  4970,132730,19610407,    0,    0
  4970,132730,19610408,    0,    0
  4970,132730,19610409,    0,    0
  4970,132730,19610410,  208,    0
  4970,132730,19610411,    3,    0
  4970,132730,19610412,    0,    0
  4970,132730,19610413,    0,    0
  4970,132730,19610414,   42,    0
  4970,132730,19610415,   34,    0
  4970,132730,19610416,    0,    0
  4970,132730,19610417,   25,    0
  4970,132730,19610418,   41,    0
  4970,132730,19610419,    0,    0
  4970,132730,19610420,   13,    0
  4970,132730,19610421,    1,    0
  4970,132730,19610422,   23,    0
  4970,132730,19610423,    1,    0
  4970,132730,19610424,   41,    0
  4970,132730,19610425,    6,    0
  4970,132730,19610426,    1,    0
  4970,132730,19610427,    9,    0
  4970,132730,19610428,    1,    0
  4970,132730,19610429,   18,    0
  4970,132730,19610430,   32,    0
  4970,132730,19610501,   21,    0
  4970,132730,19610502,   62,    0
  4970,132730,19610503,   48,    0
  4970,132730,19610504,   71,    0
  4970,132730,19610505,   78,    0
  4970,132730,19610506,    3,    0
  4970,132730,19610507,   49,    0
  4970,132730,19610508,   11,    0
  4970,132730,19610509,   59,    0
  4970,132730,19610510,    7,    0
  4970,132730,19610511,    7,    0
  4970,132730,19610512,    0,    0
  4970,132730,19610513,    0,    0
  4970,132730,19610514,   27,    0
  4970,132730,19610515,    0,    0
  4970,132730,19610516,    0,    0
  4970,132730,19610517,    0,    0
  4970,132730,19610518,    0,    0
  4970,132730,19610519,    9,    0
  4970,132730,19610520,  132,    0
  4970,132730,19610521,   89,    0
  4970,132730,19610522,    0,    0
  4970,132730,19610523,    0,    0
  4970,132730,19610524,    0,    0
  4970,132730,19610525,   37,    0
  4970,132730,19610526,   95,    0
  4970,132730,19610527,    0,    0
  4970,132730,19610528,    2,    0
  4970,132730,19610529,   28,    0
  4970,132730,19610530,    0,    0
  4970,132730,19610531,    3,    0
  4970,132730,19610601,  292,    0
  4970,132730,19610602,  253,    0
  4970,132730,19610603,    1,    0
  4970,132730,19610604,   37,    0
  4970,132730,19610605,    3,    0
  4970,132730,19610606,   67,    0
  4970,132730,19610607,   16,    0
  4970,132730,19610608,   12,    0
  4970,132730,19610609,  159,    0
  4970,132730,19610610,    0,    0
  4970,132730,19610611,   20,    0
  4970,132730,19610612,   89,    0
  4970,132730,19610613,   90,    0
  4970,132730,19610614,    0,    0
  4970,132730,19610615,    0,    0
  4970,132730,19610616,    0,    0
  4970,132730,19610617,    0,    0
  4970,132730,19610618,   17,    0
  4970,132730,19610619,    0,    0
  4970,132730,19610620,    0,    0
  4970,132730,19610621,    0,    0
  4970,132730,19610622,    0,    0
  4970,132730,19610623,    0,    0
  4970,132730,19610624,    0,    0
  4970,132730,19610625,    0,    0
  4970,132730,19610626,  290,    0
  4970,132730,19610627,   27,    0
  4970,132730,19610628,    0,    0
  4970,132730,19610629,    0,    0
  4970,132730,19610630,    0,    0
  4970,132730,19610701,    0,    0
  4970,132730,19610702,    0,    0
  4970,132730,19610703,    0,    0
  4970,132730,19610704,   61,    0
  4970,132730,19610705,   12,    0
  4970,132730,19610706,    0,    0
  4970,132730,19610707,    0,    0
  4970,132730,19610708,  113,    0
  4970,132730,19610709,   35,    0
  4970,132730,19610710,    0,    0
  4970,132730,19610711,   15,    0
  4970,132730,19610712,  103,    0
  4970,132730,19610713,   93,    0
  4970,132730,19610714,   96,    0
  4970,132730,19610715,   18,    0
  4970,132730,19610716,  117,    0
  4970,132730,19610717,   98,    0
  4970,132730,19610718,  147,    0
  4970,132730,19610719,    1,    0
  4970,132730,19610720,    0,    0
  4970,132730,19610721,    0,    0
  4970,132730,19610722,    0,    0
  4970,132730,19610723,    0,    0
  4970,132730,19610724,    0,    0
  4970,132730,19610725,    0,    0
  4970,132730,19610726,    0,    0
  4970,132730,19610727,  183,    0
  4970,132730,19610728,  235,    0
  4970,132730,19610729,   50,    0
  4970,132730,19610730,    0,    0
  4970,132730,19610731,    0,    0
  4970,132730,19610801,    0,    0
  4970,132730,19610802,    6,    0
  4970,132730,19610803,    0,    0
  4970,132730,19610804,    0,    0
  4970,132730,19610805,    0,    0
  4970,132730,19610806,   45,    0
  4970,132730,19610807,    0,    0
  4970,132730,19610808,    0,    0
  4970,132730,19610809,   12,    0
  4970,132730,19610810,  102,    0
  4970,132730,19610811,    0,    0
  4970,132730,19610812,    2,    0
  4970,132730,19610813,    5,    0
  4970,132730,19610814,   10,    0
  4970,132730,19610815,   90,    0
  4970,132730,19610816,  129,    0
  4970,132730,19610817,   10,    0
  4970,132730,19610818,    0,    0
  4970,132730,19610819,   38,    0
  4970,132730,19610820,    0,    0
  4970,132730,19610821,   14,    0
  4970,132730,19610822,    9,    0
  4970,132730,19610823,    0,    0
  4970,132730,19610824,    0,    0
  4970,132730,19610825,    0,    0
  4970,132730,19610826,    0,    0
  4970,132730,19610827,    0,    0
  4970,132730,19610828,    0,    0
  4970,132730,19610829,    0,    0
  4970,132730,19610830,    0,    0
  4970,132730,19610831,    0,    0
  4970,132730,19610901,    0,    0
  4970,132730,19610902,    0,    0
  4970,132730,19610903,    0,    0
  4970,132730,19610904,   24,    0
  4970,132730,19610905,   16,    0
  4970,132730,19610906,  116,    0
  4970,132730,19610907,   16,    0
  4970,132730,19610908,    0,    0
  4970,132730,19610909,    0,    0
  4970,132730,19610910,    0,    0
  4970,132730,19610911,    1,    0
  4970,132730,19610912,    0,    0
  4970,132730,19610913,   41,    0
  4970,132730,19610914,  103,    0
  4970,132730,19610915,    0,    0
  4970,132730,19610916,    0,    0
  4970,132730,19610917,    0,    0
  4970,132730,19610918,    0,    0
  4970,132730,19610919,    0,    0
  4970,132730,19610920,    0,    0
  4970,132730,19610921,    0,    0
  4970,132730,19610922,    0,    0
  4970,132730,19610923,    0,    0
  4970,132730,19610924,    0,    0
  4970,132730,19610925,    0,    0
  4970,132730,19610926,    0,    0
  4970,132730,19610927,    1,    0
  4970,132730,19610928,   86,    0
  4970,132730,19610929,    0,    0
  4970,132730,19610930,    0,    0
  4970,132730,19611001,   25,    0
  4970,132730,19611002,    6,    0
  4970,132730,19611003,    3,    0
  4970,132730,19611004,    0,    0
  4970,132730,19611005,    0,    0
  4970,132730,19611006,   10,    0
  4970,132730,19611007,   21,    0
  4970,132730,19611008,    0,    0
  4970,132730,19611009,    0,    0
  4970,132730,19611010,    0,    0
  4970,132730,19611011,    0,    0
  4970,132730,19611012,    0,    0
  4970,132730,19611013,    0,    0
  4970,132730,19611014,    0,    0
  4970,132730,19611015,    0,    0
  4970,132730,19611016,    6,    0
  4970,132730,19611017,  182,    0
  4970,132730,19611018,   46,    0
  4970,132730,19611019,   69,    0
  4970,132730,19611020,    2,    0
  4970,132730,19611021,    0,    0
  4970,132730,19611022,    0,    0
  4970,132730,19611023,   37,    0
  4970,132730,19611024,  106,    0
  4970,132730,19611025,  192,    0
  4970,132730,19611026,  109,    0
  4970,132730,19611027,    6,    0
  4970,132730,19611028,   18,    0
  4970,132730,19611029,    3,    0
  4970,132730,19611030,    0,    0
  4970,132730,19611031,    0,    0
  4970,132730,19611101,    0,    0
  4970,132730,19611102,   11,    0
  4970,132730,19611103,  100,    0
  4970,132730,19611104,    1,    0
  4970,132730,19611105,   20,    0
  4970,132730,19611106,   90,    0
  4970,132730,19611107,   30,    0
  4970,132730,19611108,   52,    0
  4970,132730,19611109,   86,    0
  4970,132730,19611110,   48,    0
  4970,132730,19611111,    0,    0
  4970,132730,19611112,   13,    0
  4970,132730,19611113,   92,    0
  4970,132730,19611114,    0,    0
  4970,132730,19611115,    0,    0
  4970,132730,19611116,    0,    0
  4970,132730,19611117,    0,    0
  4970,132730,19611118,    0,    0
  4970,132730,19611119,    0,    0
  4970,132730,19611120,    0,    0
  4970,132730,19611121,    0,    0
  4970,132730,19611122,    0,    0
  4970,132730,19611123,   16,    0
  4970,132730,19611124,   10,    0
  4970,132730,19611125,   14,    0
  4970,132730,19611126,   42,    0
  4970,132730,19611127,   28,    0
  4970,132730,19611128,   37,    0
  4970,132730,19611129,    0,    0
  4970,132730,19611130,   81,    0
  4970,132730,19611201,  105,    0
  4970,132730,19611202,   54,    0
  4970,132730,19611203,   40,    0
  4970,132730,19611204,  163,    0
  4970,132730,19611205,   24,    0
  4970,132730,19611206,    0,    0
  4970,132730,19611207,    0,    0
  4970,132730,19611208,    9,    0
  4970,132730,19611209,   20,    0
  4970,132730,19611210,   68,    0
  4970,132730,19611211,  136,    0
  4970,132730,19611212,   23,    0
  4970,132730,19611213,   49,    0
  4970,132730,19611214,   17,    0
  4970,132730,19611215,    0,    0
  4970,132730,19611216,    0,    0
  4970,132730,19611217,    0,    0
  4970,132730,19611218,    0,    0
  4970,132730,19611219,    0,    0
  4970,132730,19611220,    1,    0
  4970,132730,19611221,    1,    0
  4970,132730,19611222,   10,    0
  4970,132730,19611223,    0,    0
  4970,132730,19611224,    0,    0
  4970,132730,19611225,    0,    0
  4970,132730,19611226,    0,    0
  4970,132730,19611227,    0,    0
  4970,132730,19611228,    0,    0
  4970,132730,19611229,    0,    0
  4970,132730,19611230,   58,    0
  4970,132730,19611231,   38,    0
  4970,132730,19620101,    0,    0
  4970,132730,19620102,    0,    0
  4970,132730,19620103,    0,    0
  4970,132730,19620104,    0,    0
  4970,132730,19620105,    0,    0
  4970,132730,19620106,    4,    0
  4970,132730,19620107,    3,    0
  4970,132730,19620108,    0,    0
  4970,132730,19620109,  135,    0
  4970,132730,19620110,   14,    0
  4970,132730,19620111,   16,    0
  4970,132730,19620112,  198,    0
  4970,132730,19620113,   24,    0
  4970,132730,19620114,   17,    0
  4970,132730,19620115,    0,    0
  4970,132730,19620116,    4,    0
  4970,132730,19620117,    3,    0
  4970,132730,19620118,   10,    0
  4970,132730,19620119,   36,    0
  4970,132730,19620120,   31,    0
  4970,132730,19620121,   65,    0
  4970,132730,19620122,    3,    0
  4970,132730,19620123,   11,    0
  4970,132730,19620124,  105,    0
  4970,132730,19620125,   38,    0
  4970,132730,19620126,   40,    0
  4970,132730,19620127,    0,    0
  4970,132730,19620128,   13,    0
  4970,132730,19620129,    0,    0
  4970,132730,19620130,    0,    0
  4970,132730,19620131,    0,    0
  4970,132730,19620201,   64,    0
  4970,132730,19620202,    7,    0
  4970,132730,19620203,   13,    0
  4970,132730,19620204,   31,    0
  4970,132730,19620205,   20,    0
  4970,132730,19620206,   29,    0
  4970,132730,19620207,   39,    0
  4970,132730,19620208,   10,    0
  4970,132730,19620209,    0,    0
  4970,132730,19620210,    0,    0
  4970,132730,19620211,    0,    0
  4970,132730,19620212,  510,    0
  4970,132730,19620213,   71,    0
  4970,132730,19620214,   23,    0
  4970,132730,19620215,   55,    0
  4970,132730,19620216,   91,    0
  4970,132730,19620217,    6,    0
  4970,132730,19620218,    0,    0
  4970,132730,19620219,    0,    0
  4970,132730,19620220,    0,    0
  4970,132730,19620221,    0,    0
  4970,132730,19620222,    0,    0
  4970,132730,19620223,    0,    0
  4970,132730,19620224,    7,    0
  4970,132730,19620225,    0,    0
  4970,132730,19620226,    0,    0
  4970,132730,19620227,    0,    0
  4970,132730,19620228,    0,    0
  4970,132730,19620301,    8,    0
  4970,132730,19620302,    5,    0
  4970,132730,19620303,   17,    0
  4970,132730,19620304,  141,    0
  4970,132730,19620305,   37,    0
  4970,132730,19620306,    7,    0
  4970,132730,19620307,    0,    0
  4970,132730,19620308,    0,    0
  4970,132730,19620309,    0,    0
  4970,132730,19620310,    1,    0
  4970,132730,19620311,   52,    0
  4970,132730,19620312,   14,    0
  4970,132730,19620313,   15,    0
  4970,132730,19620314,   27,    0
  4970,132730,19620315,   10,    0
  4970,132730,19620316,    0,    0
  4970,132730,19620317,    3,    0
  4970,132730,19620318,    0,    0
  4970,132730,19620319,    0,    0
  4970,132730,19620320,    0,    0
  4970,132730,19620321,    0,    0
  4970,132730,19620322,    0,    0
  4970,132730,19620323,    0,    0
  4970,132730,19620324,    0,    0
  4970,132730,19620325,    0,    0
  4970,132730,19620326,   16,    0
  4970,132730,19620327,    9,    0
  4970,132730,19620328,   16,    0
  4970,132730,19620329,  232,    0
  4970,132730,19620330,  288,    0
  4970,132730,19620331,    2,    0
  4970,132730,19620401,    4,    0
  4970,132730,19620402,    0,    0
  4970,132730,19620403,  108,    0
  4970,132730,19620404,  145,    0
  4970,132730,19620405,   99,    0
  4970,132730,19620406,    5,    0
  4970,132730,19620407,    5,    0
  4970,132730,19620408,   77,    0
  4970,132730,19620409,   26,    0
  4970,132730,19620410,   36,    0
  4970,132730,19620411,    0,    0
  4970,132730,19620412,    7,    0
  4970,132730,19620413,   17,    0
  4970,132730,19620414,  111,    0
