EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132731) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SD, Q_SD
  4970,132731,19610101,    9,    0
  4970,132731,19610102,    9,    0
  4970,132731,19610103,    0,    0
  4970,132731,19610104,    0,    0
  4970,132731,19610105,    4,    0
  4970,132731,19610106,    2,    0
  4970,132731,19610107,    5,    0
  4970,132731,19610108,    5,    0
  4970,132731,19610109,    0,    0
  4970,132731,19610110,    0,    0
  4970,132731,19610111,    0,    0
  4970,132731,19610112,    0,    0
  4970,132731,19610113,    0,    0
  4970,132731,19610114,    2,    0
  4970,132731,19610115,    2,    0
  4970,132731,19610116,    1,    0
  4970,132731,19610117,    0,    0
  4970,132731,19610118,    0,    0
  4970,132731,19610119,    0,    0
  4970,132731,19610120,    0,    0
  4970,132731,19610121,    0,    0
  4970,132731,19610122,    0,    0
  4970,132731,19610123,    0,    0
  4970,132731,19610124,    0,    0
  4970,132731,19610125,    0,    0
  4970,132731,19610126,    7,    0
  4970,132731,19610127,    7,    0
  4970,132731,19610128,    5,    0
  4970,132731,19610129,    0,    0
  4970,132731,19610130,    0,    0
  4970,132731,19610131,    0,    0
  4970,132731,19610201,    0,    0
  4970,132731,19610202,    1,    0
  4970,132731,19610203,    0,    0
  4970,132731,19610204,    1,    0
  4970,132731,19610205,    1,    0
  4970,132731,19610206,    0,    0
  4970,132731,19610207,    0,    0
  4970,132731,19610208,    0,    0
  4970,132731,19610209,    0,    0
  4970,132731,19610210,    0,    0
  4970,132731,19610211,    0,    0
  4970,132731,19610212,    0,    0
  4970,132731,19610213,    0,    0
  4970,132731,19610214,    0,    0
  4970,132731,19610215,    0,    0
  4970,132731,19610216,    0,    0
  4970,132731,19610217,    0,    0
  4970,132731,19610218,    0,    0
  4970,132731,19610219,    0,    0
  4970,132731,19610220,    0,    0
  4970,132731,19610221,    0,    0
  4970,132731,19610222,    0,    0
  4970,132731,19610223,    0,    0
  4970,132731,19610224,    0,    0
  4970,132731,19610225,    0,    0
  4970,132731,19610226,    0,    0
  4970,132731,19610227,    0,    0
  4970,132731,19610228,    0,    0
  4970,132731,19610301,    0,    0
  4970,132731,19610302,    0,    0
  4970,132731,19610303,    0,    0
  4970,132731,19610304,    0,    0
  4970,132731,19610305,    0,    0
  4970,132731,19610306,    0,    0
  4970,132731,19610307,    0,    0
  4970,132731,19610308,    0,    0
  4970,132731,19610309,    0,    0
  4970,132731,19610310,    0,    0
  4970,132731,19610311,    0,    0
  4970,132731,19610312,    0,    0
  4970,132731,19610313,    0,    0
  4970,132731,19610314,    0,    0
  4970,132731,19610315,    0,    0
  4970,132731,19610316,    0,    0
  4970,132731,19610317,    0,    0
  4970,132731,19610318,    0,    0
  4970,132731,19610319,    0,    0
  4970,132731,19610320,    0,    0
  4970,132731,19610321,    0,    0
  4970,132731,19610322,    0,    0
  4970,132731,19610323,    0,    0
  4970,132731,19610324,    0,    0
  4970,132731,19610325,    0,    0
  4970,132731,19610326,    0,    0
  4970,132731,19610327,    0,    0
  4970,132731,19610328,    0,    0
  4970,132731,19610329,    0,    0
  4970,132731,19610330,    0,    0
  4970,132731,19610331,    0,    0
  4970,132731,19610401,    0,    0
  4970,132731,19610402,    0,    0
  4970,132731,19610403,    0,    0
  4970,132731,19610404,    0,    0
  4970,132731,19610405,    0,    0
  4970,132731,19610406,    0,    0
  4970,132731,19610407,    0,    0
  4970,132731,19610408,    0,    0
  4970,132731,19610409,    0,    0
  4970,132731,19610410,    0,    0
  4970,132731,19610411,    0,    0
  4970,132731,19610412,    0,    0
  4970,132731,19610413,    0,    0
  4970,132731,19610414,    0,    0
  4970,132731,19610415,    0,    0
  4970,132731,19610416,    0,    0
  4970,132731,19610417,    0,    0
  4970,132731,19610418,    0,    0
  4970,132731,19610419,    0,    0
  4970,132731,19610420,    0,    0
  4970,132731,19610421,    0,    0
  4970,132731,19610422,    0,    0
  4970,132731,19610423,    0,    0
  4970,132731,19610424,    0,    0
  4970,132731,19610425,    0,    0
  4970,132731,19610426,    0,    0
  4970,132731,19610427,    0,    0
  4970,132731,19610428,    0,    0
  4970,132731,19610429,    0,    0
  4970,132731,19610430,    0,    0
  4970,132731,19610501,    0,    0
  4970,132731,19610502,    0,    0
  4970,132731,19610503,    0,    0
  4970,132731,19610504,    0,    0
  4970,132731,19610505,    0,    0
  4970,132731,19610506,    0,    0
  4970,132731,19610507,    0,    0
  4970,132731,19610508,    0,    0
  4970,132731,19610509,    0,    0
  4970,132731,19610510,    0,    0
  4970,132731,19610511,    0,    0
  4970,132731,19610512,    0,    0
  4970,132731,19610513,    0,    0
  4970,132731,19610514,    0,    0
  4970,132731,19610515,    0,    0
  4970,132731,19610516,    0,    0
  4970,132731,19610517,    0,    0
  4970,132731,19610518,    0,    0
  4970,132731,19610519,    0,    0
  4970,132731,19610520,    0,    0
  4970,132731,19610521,    0,    0
  4970,132731,19610522,    0,    0
  4970,132731,19610523,    0,    0
  4970,132731,19610524,    0,    0
  4970,132731,19610525,    0,    0
  4970,132731,19610526,    0,    0
  4970,132731,19610527,    0,    0
  4970,132731,19610528,    0,    0
  4970,132731,19610529,    0,    0
  4970,132731,19610530,    0,    0
  4970,132731,19610531,    0,    0
  4970,132731,19610601,    0,    0
  4970,132731,19610602,    0,    0
  4970,132731,19610603,    0,    0
  4970,132731,19610604,    0,    0
  4970,132731,19610605,    0,    0
  4970,132731,19610606,    0,    0
  4970,132731,19610607,    0,    0
  4970,132731,19610608,    0,    0
  4970,132731,19610609,    0,    0
  4970,132731,19610610,    0,    0
  4970,132731,19610611,    0,    0
  4970,132731,19610612,    0,    0
  4970,132731,19610613,    0,    0
  4970,132731,19610614,    0,    0
  4970,132731,19610615,    0,    0
  4970,132731,19610616,    0,    0
  4970,132731,19610617,    0,    0
  4970,132731,19610618,    0,    0
  4970,132731,19610619,    0,    0
  4970,132731,19610620,    0,    0
  4970,132731,19610621,    0,    0
  4970,132731,19610622,    0,    0
  4970,132731,19610623,    0,    0
  4970,132731,19610624,    0,    0
  4970,132731,19610625,    0,    0
  4970,132731,19610626,    0,    0
  4970,132731,19610627,    0,    0
  4970,132731,19610628,    0,    0
  4970,132731,19610629,    0,    0
  4970,132731,19610630,    0,    0
  4970,132731,19610701,    0,    0
  4970,132731,19610702,    0,    0
  4970,132731,19610703,    0,    0
  4970,132731,19610704,    0,    0
  4970,132731,19610705,    0,    0
  4970,132731,19610706,    0,    0
  4970,132731,19610707,    0,    0
  4970,132731,19610708,    0,    0
  4970,132731,19610709,    0,    0
  4970,132731,19610710,    0,    0
  4970,132731,19610711,    0,    0
  4970,132731,19610712,    0,    0
  4970,132731,19610713,    0,    0
  4970,132731,19610714,    0,    0
  4970,132731,19610715,    0,    0
  4970,132731,19610716,    0,    0
  4970,132731,19610717,    0,    0
  4970,132731,19610718,    0,    0
  4970,132731,19610719,    0,    0
  4970,132731,19610720,    0,    0
  4970,132731,19610721,    0,    0
  4970,132731,19610722,    0,    0
  4970,132731,19610723,    0,    0
  4970,132731,19610724,    0,    0
  4970,132731,19610725,    0,    0
  4970,132731,19610726,    0,    0
  4970,132731,19610727,    0,    0
  4970,132731,19610728,    0,    0
  4970,132731,19610729,    0,    0
  4970,132731,19610730,    0,    0
  4970,132731,19610731,    0,    0
  4970,132731,19610801,    0,    0
  4970,132731,19610802,    0,    0
  4970,132731,19610803,    0,    0
  4970,132731,19610804,    0,    0
  4970,132731,19610805,    0,    0
  4970,132731,19610806,    0,    0
  4970,132731,19610807,    0,    0
  4970,132731,19610808,    0,    0
  4970,132731,19610809,    0,    0
  4970,132731,19610810,    0,    0
  4970,132731,19610811,    0,    0
  4970,132731,19610812,    0,    0
  4970,132731,19610813,    0,    0
  4970,132731,19610814,    0,    0
  4970,132731,19610815,    0,    0
  4970,132731,19610816,    0,    0
  4970,132731,19610817,    0,    0
  4970,132731,19610818,    0,    0
  4970,132731,19610819,    0,    0
  4970,132731,19610820,    0,    0
  4970,132731,19610821,    0,    0
  4970,132731,19610822,    0,    0
  4970,132731,19610823,    0,    0
  4970,132731,19610824,    0,    0
  4970,132731,19610825,    0,    0
  4970,132731,19610826,    0,    0
  4970,132731,19610827,    0,    0
  4970,132731,19610828,    0,    0
  4970,132731,19610829,    0,    0
  4970,132731,19610830,    0,    0
  4970,132731,19610831,    0,    0
  4970,132731,19610901,    0,    0
  4970,132731,19610902,    0,    0
  4970,132731,19610903,    0,    0
  4970,132731,19610904,    0,    0
  4970,132731,19610905,    0,    0
  4970,132731,19610906,    0,    0
  4970,132731,19610907,    0,    0
  4970,132731,19610908,    0,    0
  4970,132731,19610909,    0,    0
  4970,132731,19610910,    0,    0
  4970,132731,19610911,    0,    0
  4970,132731,19610912,    0,    0
  4970,132731,19610913,    0,    0
  4970,132731,19610914,    0,    0
  4970,132731,19610915,    0,    0
  4970,132731,19610916,    0,    0
  4970,132731,19610917,    0,    0
  4970,132731,19610918,    0,    0
  4970,132731,19610919,    0,    0
  4970,132731,19610920,    0,    0
  4970,132731,19610921,    0,    0
  4970,132731,19610922,    0,    0
  4970,132731,19610923,    0,    0
  4970,132731,19610924,    0,    0
  4970,132731,19610925,    0,    0
  4970,132731,19610926,    0,    0
  4970,132731,19610927,    0,    0
  4970,132731,19610928,    0,    0
  4970,132731,19610929,    0,    0
  4970,132731,19610930,    0,    0
  4970,132731,19611001,    0,    0
  4970,132731,19611002,    0,    0
  4970,132731,19611003,    0,    0
  4970,132731,19611004,    0,    0
  4970,132731,19611005,    0,    0
  4970,132731,19611006,    0,    0
  4970,132731,19611007,    0,    0
  4970,132731,19611008,    0,    0
  4970,132731,19611009,    0,    0
  4970,132731,19611010,    0,    0
  4970,132731,19611011,    0,    0
  4970,132731,19611012,    0,    0
  4970,132731,19611013,    0,    0
  4970,132731,19611014,    0,    0
  4970,132731,19611015,    0,    0
  4970,132731,19611016,    0,    0
  4970,132731,19611017,    0,    0
  4970,132731,19611018,    0,    0
  4970,132731,19611019,    0,    0
  4970,132731,19611020,    0,    0
  4970,132731,19611021,    0,    0
  4970,132731,19611022,    0,    0
  4970,132731,19611023,    0,    0
  4970,132731,19611024,    0,    0
  4970,132731,19611025,    0,    0
  4970,132731,19611026,    0,    0
  4970,132731,19611027,    0,    0
  4970,132731,19611028,    0,    0
