EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132728) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SS, Q_SS
  4970,132728,19610101,   17,    0
  4970,132728,19610102,    0,    0
  4970,132728,19610103,    8,    0
  4970,132728,19610104,    0,    0
  4970,132728,19610105,   23,    0
  4970,132728,19610106,    0,    0
  4970,132728,19610107,    0,    0
  4970,132728,19610108,    0,    0
  4970,132728,19610109,    0,    0
  4970,132728,19610110,    0,    0
  4970,132728,19610111,   15,    0
  4970,132728,19610112,   77,    0
  4970,132728,19610113,   11,    0
  4970,132728,19610114,    0,    0
  4970,132728,19610115,   12,    0
  4970,132728,19610116,   62,    0
  4970,132728,19610117,   77,    0
  4970,132728,19610118,   78,    0
  4970,132728,19610119,   78,    0
  4970,132728,19610120,    8,    0
  4970,132728,19610121,    7,    0
  4970,132728,19610122,   30,    0
  4970,132728,19610123,    0,    0
  4970,132728,19610124,    0,    0
  4970,132728,19610125,    0,    0
  4970,132728,19610126,    0,    0
  4970,132728,19610127,   48,    0
  4970,132728,19610128,   12,    0
  4970,132728,19610129,    9,    0
  4970,132728,19610130,    0,    0
  4970,132728,19610131,   24,    0
  4970,132728,19610201,    5,    0
  4970,132728,19610202,    1,    0
  4970,132728,19610203,   10,    0
  4970,132728,19610204,    3,    0
  4970,132728,19610205,   16,    0
  4970,132728,19610206,   15,    0
  4970,132728,19610207,    8,    0
  4970,132728,19610208,    4,    0
  4970,132728,19610209,   10,    0
  4970,132728,19610210,    7,    0
  4970,132728,19610211,    0,    0
  4970,132728,19610212,   13,    0
  4970,132728,19610213,    3,    0
  4970,132728,19610214,   97,    0
  4970,132728,19610215,   88,    0
  4970,132728,19610216,   90,    0
  4970,132728,19610217,   98,    0
  4970,132728,19610218,   95,    0
  4970,132728,19610219,   30,    0
  4970,132728,19610220,   90,    0
  4970,132728,19610221,   89,    0
  4970,132728,19610222,   94,    0
  4970,132728,19610223,   20,    0
  4970,132728,19610224,   32,    0
  4970,132728,19610225,   64,    0
  4970,132728,19610226,   71,    0
  4970,132728,19610227,    1,    0
  4970,132728,19610228,   24,    0
  4970,132728,19610301,   11,    0
  4970,132728,19610302,   20,    0
  4970,132728,19610303,   16,    0
  4970,132728,19610304,  106,    0
  4970,132728,19610305,  108,    0
  4970,132728,19610306,  102,    0
  4970,132728,19610307,  101,    0
  4970,132728,19610308,  108,    0
  4970,132728,19610309,  101,    0
  4970,132728,19610310,   97,    0
  4970,132728,19610311,   19,    0
  4970,132728,19610312,   77,    0
  4970,132728,19610313,    0,    0
  4970,132728,19610314,    2,    0
  4970,132728,19610315,   98,    0
  4970,132728,19610316,  110,    0
  4970,132728,19610317,  106,    0
  4970,132728,19610318,   21,    0
  4970,132728,19610319,   31,    0
  4970,132728,19610320,   63,    0
  4970,132728,19610321,   31,    0
  4970,132728,19610322,   52,    0
  4970,132728,19610323,    0,    0
  4970,132728,19610324,  109,    0
  4970,132728,19610325,  115,    0
  4970,132728,19610326,   82,    0
  4970,132728,19610327,   53,    0
  4970,132728,19610328,   49,    0
  4970,132728,19610329,   26,    0
  4970,132728,19610330,    0,    0
  4970,132728,19610331,   37,    0
  4970,132728,19610401,    0,    0
  4970,132728,19610402,    0,    0
  4970,132728,19610403,    8,    0
  4970,132728,19610404,   39,    0
  4970,132728,19610405,   95,    0
  4970,132728,19610406,   94,    0
  4970,132728,19610407,   67,    0
  4970,132728,19610408,   36,    0
  4970,132728,19610409,   75,    0
  4970,132728,19610410,   80,    0
  4970,132728,19610411,    0,    0
  4970,132728,19610412,   41,    0
  4970,132728,19610413,   98,    0
  4970,132728,19610414,    8,    0
  4970,132728,19610415,    0,    0
  4970,132728,19610416,   83,    0
  4970,132728,19610417,   20,    0
  4970,132728,19610418,    9,    0
  4970,132728,19610419,   22,    0
  4970,132728,19610420,   35,    0
  4970,132728,19610421,   14,    0
  4970,132728,19610422,    7,    0
  4970,132728,19610423,    6,    0
  4970,132728,19610424,    0,    0
  4970,132728,19610425,    9,    0
  4970,132728,19610426,   21,    0
  4970,132728,19610427,   20,    0
  4970,132728,19610428,   48,    0
  4970,132728,19610429,   53,    0
  4970,132728,19610430,    0,    0
  4970,132728,19610501,   20,    0
  4970,132728,19610502,   34,    0
  4970,132728,19610503,   48,    0
  4970,132728,19610504,   65,    0
  4970,132728,19610505,   41,    0
  4970,132728,19610506,   75,    0
  4970,132728,19610507,   23,    0
  4970,132728,19610508,   46,    0
  4970,132728,19610509,   24,    0
  4970,132728,19610510,   46,    0
  4970,132728,19610511,   54,    0
  4970,132728,19610512,   42,    0
  4970,132728,19610513,   61,    0
  4970,132728,19610514,   88,    0
  4970,132728,19610515,  133,    0
  4970,132728,19610516,  122,    0
  4970,132728,19610517,   75,    0
  4970,132728,19610518,  111,    0
  4970,132728,19610519,   77,    0
  4970,132728,19610520,    9,    0
  4970,132728,19610521,    7,    0
  4970,132728,19610522,   91,    0
  4970,132728,19610523,   93,    0
  4970,132728,19610524,  127,    0
  4970,132728,19610525,  112,    0
  4970,132728,19610526,    0,    0
  4970,132728,19610527,    2,    0
  4970,132728,19610528,   31,    0
  4970,132728,19610529,   22,    0
  4970,132728,19610530,   61,    0
  4970,132728,19610531,  104,    0
  4970,132728,19610601,   26,    0
  4970,132728,19610602,    0,    0
