EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132733) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   TN, Q_TN
  4970,132733,19610101,  -10,    0
  4970,132733,19610102,   -2,    0
  4970,132733,19610103,    4,    0
  4970,132733,19610104,   -4,    0
  4970,132733,19610105,  -10,    0
  4970,132733,19610106,  -12,    0
  4970,132733,19610107,    2,    0
  4970,132733,19610108,   -2,    0
  4970,132733,19610109,    6,    0
  4970,132733,19610110,    5,    0
  4970,132733,19610111,  -30,    0
  4970,132733,19610112,  -46,    0
  4970,132733,19610113,  -65,    0
  4970,132733,19610114,  -18,    0
  4970,132733,19610115,  -16,    0
  4970,132733,19610116,  -25,    0
  4970,132733,19610117,  -49,    0
  4970,132733,19610118,  -65,    0
  4970,132733,19610119,  -74,    0
  4970,132733,19610120,   -5,    0
  4970,132733,19610121,    9,    0
  4970,132733,19610122,  -15,    0
  4970,132733,19610123,  -15,    0
  4970,132733,19610124,  -30,    0
  4970,132733,19610125,  -65,    0
  4970,132733,19610126,  -74,    0
  4970,132733,19610127,  -84,    0
  4970,132733,19610128,  -66,    0
  4970,132733,19610129,   15,    0
  4970,132733,19610130,   40,    0
  4970,132733,19610131,   45,    0
  4970,132733,19610201,    0,    0
  4970,132733,19610202,    0,    0
  4970,132733,19610203,   -4,    0
  4970,132733,19610204,  -14,    0
  4970,132733,19610205,  -19,    0
  4970,132733,19610206,   27,    0
  4970,132733,19610207,   14,    0
  4970,132733,19610208,   20,    0
  4970,132733,19610209,   40,    0
  4970,132733,19610210,    7,    0
  4970,132733,19610211,   30,    0
  4970,132733,19610212,   24,    0
  4970,132733,19610213,   32,    0
  4970,132733,19610214,   31,    0
  4970,132733,19610215,   48,    0
  4970,132733,19610216,   37,    0
  4970,132733,19610217,    5,    0
  4970,132733,19610218,  -33,    0
  4970,132733,19610219,   31,    0
  4970,132733,19610220,   14,    0
  4970,132733,19610221,   10,    0
  4970,132733,19610222,   10,    0
  4970,132733,19610223,   16,    0
  4970,132733,19610224,   54,    0
  4970,132733,19610225,   73,    0
  4970,132733,19610226,   66,    0
  4970,132733,19610227,   94,    0
  4970,132733,19610228,   21,    0
  4970,132733,19610301,    0,    0
  4970,132733,19610302,   -2,    0
  4970,132733,19610303,   15,    0
  4970,132733,19610304,   -7,    0
  4970,132733,19610305,    5,    0
  4970,132733,19610306,   39,    0
  4970,132733,19610307,   40,    0
  4970,132733,19610308,   55,    0
  4970,132733,19610309,   60,    0
  4970,132733,19610310,   62,    0
  4970,132733,19610311,   48,    0
  4970,132733,19610312,   17,    0
  4970,132733,19610313,   60,    0
  4970,132733,19610314,   60,    0
  4970,132733,19610315,   55,    0
  4970,132733,19610316,   42,    0
  4970,132733,19610317,  100,    0
  4970,132733,19610318,   20,    0
  4970,132733,19610319,  -10,    0
  4970,132733,19610320,  -26,    0
  4970,132733,19610321,  -11,    0
  4970,132733,19610322,  -46,    0
  4970,132733,19610323,   13,    0
  4970,132733,19610324,   11,    0
  4970,132733,19610325,   12,    0
  4970,132733,19610326,   36,    0
  4970,132733,19610327,    1,    0
  4970,132733,19610328,  -36,    0
  4970,132733,19610329,    0,    0
  4970,132733,19610330,   45,    0
  4970,132733,19610331,   62,    0
  4970,132733,19610401,   55,    0
  4970,132733,19610402,   78,    0
  4970,132733,19610403,   46,    0
  4970,132733,19610404,   85,    0
  4970,132733,19610405,  108,    0
  4970,132733,19610406,  106,    0
  4970,132733,19610407,  138,    0
  4970,132733,19610408,   60,    0
  4970,132733,19610409,   46,    0
  4970,132733,19610410,   86,    0
  4970,132733,19610411,  102,    0
  4970,132733,19610412,   90,    0
  4970,132733,19610413,   87,    0
  4970,132733,19610414,   61,    0
  4970,132733,19610415,   64,    0
  4970,132733,19610416,   30,    0
  4970,132733,19610417,   47,    0
  4970,132733,19610418,   59,    0
