EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-03-2021
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FALUN, SWEDEN (STAID: 2)
Blended and updated with sources:6 36439 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
     2, 36439,19610101,  -20,    0
     2, 36439,19610102,  -45,    0
     2, 36439,19610103,  -31,    0
     2, 36439,19610104,  -11,    0
     2, 36439,19610105,  -24,    0
     2, 36439,19610106,  -26,    0
     2, 36439,19610107, -136,    0
     2, 36439,19610108, -221,    0
     2, 36439,19610109, -142,    0
     2, 36439,19610110, -105,    0
     2, 36439,19610111, -138,    0
     2, 36439,19610112, -251,    0
     2, 36439,19610113, -112,    0
     2, 36439,19610114, -183,    0
     2, 36439,19610115,  -58,    0
     2, 36439,19610116,  -41,    0
     2, 36439,19610117,  -31,    0
     2, 36439,19610118,  -58,    0
     2, 36439,19610119, -166,    0
     2, 36439,19610120, -248,    0
     2, 36439,19610121, -251,    0
     2, 36439,19610122, -228,    0
     2, 36439,19610123,  -88,    0
     2, 36439,19610124, -161,    0
     2, 36439,19610125, -264,    0
     2, 36439,19610126, -211,    0
     2, 36439,19610127, -206,    0
     2, 36439,19610128,  -64,    0
     2, 36439,19610129,  -40,    0
     2, 36439,19610130,  -13,    0
     2, 36439,19610131, -113,    0
     2, 36439,19610201,  -76,    0
     2, 36439,19610202,  -35,    0
     2, 36439,19610203,  -78,    0
     2, 36439,19610204, -130,    0
     2, 36439,19610205, -240,    0
     2, 36439,19610206, -245,    0
     2, 36439,19610207,  -10,    0
     2, 36439,19610208, -106,    0
     2, 36439,19610209, -195,    0
     2, 36439,19610210, -108,    0
     2, 36439,19610211,  -36,    0
     2, 36439,19610212, -110,    0
     2, 36439,19610213, -167,    0
     2, 36439,19610214,  -20,    0
     2, 36439,19610215,  -41,    0
     2, 36439,19610216,  -72,    0
     2, 36439,19610217,  -28,    0
     2, 36439,19610218,  -20,    0
     2, 36439,19610219,  -40,    0
     2, 36439,19610220,  -34,    0
     2, 36439,19610221,  -20,    0
     2, 36439,19610222, -108,    0
     2, 36439,19610223, -101,    0
     2, 36439,19610224, -106,    0
     2, 36439,19610225,  -60,    0
     2, 36439,19610226,    3,    0
     2, 36439,19610227,   20,    0
     2, 36439,19610228,   -8,    0
     2, 36439,19610301,  -70,    0
     2, 36439,19610302,  -54,    0
     2, 36439,19610303,    4,    0
     2, 36439,19610304,  -18,    0
     2, 36439,19610305,   15,    0
     2, 36439,19610306,   -4,    0
     2, 36439,19610307,   41,    0
     2, 36439,19610308,  -14,    0
     2, 36439,19610309,   -7,    0
     2, 36439,19610310,    6,    0
     2, 36439,19610311,   17,    0
     2, 36439,19610312,   16,    0
     2, 36439,19610313,  -19,    0
     2, 36439,19610314,  -47,    0
     2, 36439,19610315,  -20,    0
     2, 36439,19610316,  -29,    0
     2, 36439,19610317,   -5,    0
     2, 36439,19610318,  -43,    0
     2, 36439,19610319,  -99,    0
     2, 36439,19610320, -135,    0
     2, 36439,19610321, -119,    0
     2, 36439,19610322, -109,    0
     2, 36439,19610323,  -31,    0
     2, 36439,19610324,  -19,    0
     2, 36439,19610325,  -39,    0
     2, 36439,19610326,   18,    0
     2, 36439,19610327,    0,    0
     2, 36439,19610328,   -3,    0
     2, 36439,19610329,  -89,    0
     2, 36439,19610330,  -21,    0
     2, 36439,19610331,  -99,    0
     2, 36439,19610401,  -90,    0
     2, 36439,19610402,  -97,    0
     2, 36439,19610403,  -93,    0
     2, 36439,19610404,  -47,    0
     2, 36439,19610405, -127,    0
     2, 36439,19610406,  -14,    0
     2, 36439,19610407,    1,    0
     2, 36439,19610408,  -89,    0
     2, 36439,19610409,  -59,    0
     2, 36439,19610410,  -62,    0
     2, 36439,19610411,  -52,    0
     2, 36439,19610412,  -45,    0
     2, 36439,19610413,  -27,    0
     2, 36439,19610414,   11,    0
     2, 36439,19610415,   27,    0
     2, 36439,19610416,  -14,    0
     2, 36439,19610417,  -37,    0
     2, 36439,19610418,    6,    0
     2, 36439,19610419,   -5,    0
     2, 36439,19610420,  -64,    0
     2, 36439,19610421,  -54,    0
     2, 36439,19610422,  -22,    0
     2, 36439,19610423,  -19,    0
     2, 36439,19610424,  -24,    0
     2, 36439,19610425,  -24,    0
     2, 36439,19610426,   -9,    0
     2, 36439,19610427,   -7,    0
     2, 36439,19610428,    1,    0
     2, 36439,19610429,  -25,    0
     2, 36439,19610430,   23,    0
     2, 36439,19610501,    8,    0
     2, 36439,19610502,   47,    0
     2, 36439,19610503,  -27,    0
     2, 36439,19610504,   81,    0
     2, 36439,19610505,   11,    0
     2, 36439,19610506,   86,    0
     2, 36439,19610507,   61,    0
     2, 36439,19610508,   61,    0
     2, 36439,19610509,   51,    0
     2, 36439,19610510,   42,    0
     2, 36439,19610511,   21,    0
     2, 36439,19610512,   14,    0
     2, 36439,19610513,   61,    0
     2, 36439,19610514,   61,    0
     2, 36439,19610515,   51,    0
     2, 36439,19610516,   11,    0
     2, 36439,19610517,    6,    0
     2, 36439,19610518,   56,    0
     2, 36439,19610519,   63,    0
     2, 36439,19610520,   43,    0
     2, 36439,19610521,   21,    0
     2, 36439,19610522,    6,    0
     2, 36439,19610523,    7,    0
     2, 36439,19610524,   51,    0
     2, 36439,19610525,   65,    0
     2, 36439,19610526,   13,    0
     2, 36439,19610527,    1,    0
     2, 36439,19610528,   31,    0
     2, 36439,19610529,   66,    0
     2, 36439,19610530,   71,    0
     2, 36439,19610531,  111,    0
     2, 36439,19610601,  154,    0
     2, 36439,19610602,  126,    0
     2, 36439,19610603,   93,    0
     2, 36439,19610604,  101,    0
     2, 36439,19610605,  119,    0
     2, 36439,19610606,  104,    0
     2, 36439,19610607,  118,    0
     2, 36439,19610608,  103,    0
     2, 36439,19610609,   96,    0
     2, 36439,19610610,  106,    0
     2, 36439,19610611,   71,    0
     2, 36439,19610612,   91,    0
     2, 36439,19610613,  119,    0
     2, 36439,19610614,  116,    0
     2, 36439,19610615,   61,    0
     2, 36439,19610616,   81,    0
     2, 36439,19610617,  110,    0
     2, 36439,19610618,  117,    0
     2, 36439,19610619,   96,    0
     2, 36439,19610620,   33,    0
     2, 36439,19610621,   96,    0
     2, 36439,19610622,   59,    0
     2, 36439,19610623,  109,    0
     2, 36439,19610624,   86,    0
     2, 36439,19610625,   41,    0
     2, 36439,19610626,   62,    0
     2, 36439,19610627,   81,    0
     2, 36439,19610628,   89,    0
     2, 36439,19610629,   87,    0
     2, 36439,19610630,  101,    0
     2, 36439,19610701,  124,    0
     2, 36439,19610702,  151,    0
     2, 36439,19610703,  151,    0
     2, 36439,19610704,   69,    0
     2, 36439,19610705,   92,    0
     2, 36439,19610706,   91,    0
     2, 36439,19610707,   71,    0
     2, 36439,19610708,   93,    0
     2, 36439,19610709,   73,    0
     2, 36439,19610710,  121,    0
     2, 36439,19610711,  121,    0
     2, 36439,19610712,  107,    0
     2, 36439,19610713,  131,    0
     2, 36439,19610714,  101,    0
     2, 36439,19610715,  141,    0
     2, 36439,19610716,   86,    0
     2, 36439,19610717,   86,    0
     2, 36439,19610718,  116,    0
     2, 36439,19610719,  121,    0
     2, 36439,19610720,  101,    0
     2, 36439,19610721,  101,    0
     2, 36439,19610722,  102,    0
     2, 36439,19610723,  101,    0
     2, 36439,19610724,   80,    0
     2, 36439,19610725,   65,    0
     2, 36439,19610726,   99,    0
     2, 36439,19610727,  122,    0
     2, 36439,19610728,  112,    0
     2, 36439,19610729,  112,    0
     2, 36439,19610730,   79,    0
     2, 36439,19610731,   96,    0
     2, 36439,19610801,  131,    0
     2, 36439,19610802,  126,    0
     2, 36439,19610803,  111,    0
     2, 36439,19610804,   86,    0
     2, 36439,19610805,  108,    0
     2, 36439,19610806,   67,    0
     2, 36439,19610807,   81,    0
     2, 36439,19610808,   60,    0
     2, 36439,19610809,   81,    0
     2, 36439,19610810,   96,    0
     2, 36439,19610811,   73,    0
     2, 36439,19610812,   81,    0
     2, 36439,19610813,   93,    0
     2, 36439,19610814,   56,    0
     2, 36439,19610815,  111,    0
     2, 36439,19610816,  106,    0
     2, 36439,19610817,  106,    0
     2, 36439,19610818,   91,    0
     2, 36439,19610819,  111,    0
     2, 36439,19610820,   81,    0
     2, 36439,19610821,   77,    0
     2, 36439,19610822,   14,    0
     2, 36439,19610823,   93,    0
     2, 36439,19610824,   44,    0
     2, 36439,19610825,   90,    0
     2, 36439,19610826,   30,    0
     2, 36439,19610827,  109,    0
     2, 36439,19610828,   51,    0
     2, 36439,19610829,   61,    0
     2, 36439,19610830,   76,    0
     2, 36439,19610831,  101,    0
     2, 36439,19610901,   73,    0
     2, 36439,19610902,   67,    0
     2, 36439,19610903,   88,    0
     2, 36439,19610904,   37,    0
     2, 36439,19610905,   36,    0
     2, 36439,19610906,   85,    0
     2, 36439,19610907,   72,    0
     2, 36439,19610908,   15,    0
     2, 36439,19610909,   56,    0
     2, 36439,19610910,   32,    0
     2, 36439,19610911,   67,    0
     2, 36439,19610912,  107,    0
     2, 36439,19610913,   82,    0
     2, 36439,19610914,   97,    0
     2, 36439,19610915,   57,    0
     2, 36439,19610916,   98,    0
     2, 36439,19610917,  127,    0
     2, 36439,19610918,   92,    0
     2, 36439,19610919,   33,    0
     2, 36439,19610920,   25,    0
     2, 36439,19610921,   22,    0
     2, 36439,19610922,   34,    0
     2, 36439,19610923,   47,    0
     2, 36439,19610924,   76,    0
     2, 36439,19610925,   82,    0
     2, 36439,19610926,   22,    0
     2, 36439,19610927,   18,    0
     2, 36439,19610928,   70,    0
     2, 36439,19610929,  107,    0
     2, 36439,19610930,  104,    0
     2, 36439,19611001,  101,    0
     2, 36439,19611002,   46,    0
     2, 36439,19611003,   31,    0
     2, 36439,19611004,   53,    0
     2, 36439,19611005,   78,    0
     2, 36439,19611006,  103,    0
     2, 36439,19611007,  105,    0
     2, 36439,19611008,   61,    0
     2, 36439,19611009,   86,    0
     2, 36439,19611010,   83,    0
     2, 36439,19611011,  121,    0
     2, 36439,19611012,   61,    0
     2, 36439,19611013,   39,    0
     2, 36439,19611014,   35,    0
     2, 36439,19611015,   37,    0
     2, 36439,19611016,    5,    0
     2, 36439,19611017,   31,    0
     2, 36439,19611018,   21,    0
     2, 36439,19611019,   78,    0
     2, 36439,19611020,  103,    0
     2, 36439,19611021,   99,    0
     2, 36439,19611022,   91,    0
     2, 36439,19611023,   70,    0
     2, 36439,19611024,   29,    0
     2, 36439,19611025,   16,    0
