EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132734) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   TX, Q_TX
  4970,132734,19610101,   22,    0
  4970,132734,19610102,   34,    0
  4970,132734,19610103,   54,    0
  4970,132734,19610104,   21,    0
  4970,132734,19610105,   24,    0
  4970,132734,19610106,   10,    0
  4970,132734,19610107,   16,    0
  4970,132734,19610108,   33,    0
  4970,132734,19610109,   29,    0
  4970,132734,19610110,   22,    0
  4970,132734,19610111,   15,    0
  4970,132734,19610112,   10,    0
  4970,132734,19610113,    4,    0
  4970,132734,19610114,    8,    0
  4970,132734,19610115,    8,    0
  4970,132734,19610116,    8,    0
  4970,132734,19610117,   -8,    0
  4970,132734,19610118,  -21,    0
  4970,132734,19610119,   28,    0
  4970,132734,19610120,   22,    0
  4970,132734,19610121,   36,    0
  4970,132734,19610122,   40,    0
  4970,132734,19610123,   -2,    0
  4970,132734,19610124,  -10,    0
  4970,132734,19610125,  -20,    0
  4970,132734,19610126,  -48,    0
  4970,132734,19610127,   -5,    0
  4970,132734,19610128,   40,    0
  4970,132734,19610129,   55,    0
  4970,132734,19610130,   70,    0
  4970,132734,19610131,   92,    0
  4970,132734,19610201,   52,    0
  4970,132734,19610202,   46,    0
  4970,132734,19610203,   20,    0
  4970,132734,19610204,   26,    0
  4970,132734,19610205,   30,    0
  4970,132734,19610206,   80,    0
  4970,132734,19610207,   47,    0
  4970,132734,19610208,   50,    0
  4970,132734,19610209,   83,    0
  4970,132734,19610210,   56,    0
  4970,132734,19610211,   60,    0
  4970,132734,19610212,   60,    0
  4970,132734,19610213,   65,    0
  4970,132734,19610214,  155,    0
  4970,132734,19610215,  141,    0
  4970,132734,19610216,  142,    0
  4970,132734,19610217,  147,    0
  4970,132734,19610218,   80,    0
  4970,132734,19610219,  101,    0
  4970,132734,19610220,   85,    0
  4970,132734,19610221,   79,    0
  4970,132734,19610222,   93,    0
  4970,132734,19610223,   73,    0
  4970,132734,19610224,  119,    0
  4970,132734,19610225,  140,    0
  4970,132734,19610226,  132,    0
  4970,132734,19610227,  120,    0
  4970,132734,19610228,  116,    0
  4970,132734,19610301,   44,    0
  4970,132734,19610302,   66,    0
  4970,132734,19610303,   57,    0
  4970,132734,19610304,  110,    0
  4970,132734,19610305,  134,    0
  4970,132734,19610306,  151,    0
  4970,132734,19610307,  150,    0
  4970,132734,19610308,  155,    0
