EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FALUN, SWEDEN (STAID: 2)
Blended and updated with sources:5 7 36438 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
     2, 36438,19610101,   10,    0
     2, 36438,19610102,  -10,    0
     2, 36438,19610103,   10,    0
     2, 36438,19610104,   14,    0
     2, 36438,19610105,    0,    0
     2, 36438,19610106,   31,    0
     2, 36438,19610107,  -22,    0
     2, 36438,19610108,  -60,    0
     2, 36438,19610109,  -79,    0
     2, 36438,19610110,  -34,    0
     2, 36438,19610111,  -53,    0
     2, 36438,19610112,  -70,    0
     2, 36438,19610113,   10,    0
     2, 36438,19610114,  -21,    0
     2, 36438,19610115,    2,    0
     2, 36438,19610116,   26,    0
     2, 36438,19610117,   10,    0
     2, 36438,19610118,    5,    0
     2, 36438,19610119,  -50,    0
     2, 36438,19610120, -137,    0
     2, 36438,19610121, -160,    0
     2, 36438,19610122,  -10,    0
     2, 36438,19610123,  -45,    0
     2, 36438,19610124,  -44,    0
     2, 36438,19610125, -130,    0
     2, 36438,19610126,  -75,    0
     2, 36438,19610127,  -40,    0
     2, 36438,19610128,   35,    0
     2, 36438,19610129,   26,    0
     2, 36438,19610130,   34,    0
     2, 36438,19610131,   -2,    0
     2, 36438,19610201,   -6,    0
     2, 36438,19610202,  -15,    0
     2, 36438,19610203,  -24,    0
     2, 36438,19610204,  -72,    0
     2, 36438,19610205, -115,    0
     2, 36438,19610206,   -4,    0
     2, 36438,19610207,   32,    0
     2, 36438,19610208,   10,    0
     2, 36438,19610209,  -75,    0
     2, 36438,19610210,  -10,    0
     2, 36438,19610211,   54,    0
     2, 36438,19610212,   15,    0
     2, 36438,19610213,   -6,    0
     2, 36438,19610214,   55,    0
     2, 36438,19610215,   56,    0
     2, 36438,19610216,   65,    0
     2, 36438,19610217,   67,    0
     2, 36438,19610218,   85,    0
     2, 36438,19610219,   82,    0
     2, 36438,19610220,  103,    0
     2, 36438,19610221,   90,    0
     2, 36438,19610222,   80,    0
     2, 36438,19610223,   59,    0
     2, 36438,19610224,   56,    0
     2, 36438,19610225,   10,    0
     2, 36438,19610226,   22,    0
     2, 36438,19610227,   64,    0
     2, 36438,19610228,   77,    0
     2, 36438,19610301,   70,    0
     2, 36438,19610302,   65,    0
     2, 36438,19610303,   85,    0
     2, 36438,19610304,   92,    0
     2, 36438,19610305,   68,    0
     2, 36438,19610306,  110,    0
     2, 36438,19610307,  100,    0
     2, 36438,19610308,   76,    0
     2, 36438,19610309,  140,    0
     2, 36438,19610310,  122,    0
     2, 36438,19610311,   89,    0
     2, 36438,19610312,   60,    0
     2, 36438,19610313,   50,    0
     2, 36438,19610314,   85,    0
     2, 36438,19610315,   86,    0
     2, 36438,19610316,  116,    0
     2, 36438,19610317,  105,    0
     2, 36438,19610318,   65,    0
     2, 36438,19610319,   25,    0
     2, 36438,19610320,   28,    0
     2, 36438,19610321,   14,    0
     2, 36438,19610322,   35,    0
     2, 36438,19610323,  110,    0
     2, 36438,19610324,   85,    0
     2, 36438,19610325,   70,    0
     2, 36438,19610326,   99,    0
     2, 36438,19610327,   50,    0
     2, 36438,19610328,   60,    0
     2, 36438,19610329,   46,    0
